failure,simulationRun,sample,xmeas_1,xmeas_2,xmeas_3,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_14,xmeas_15,xmeas_17,xmeas_18,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_4,xmv_10
0,good_1,761,0.27618,3635.9,4438.9,26.722,42.576,2695.8,75.104,120.41,0.33371,80.182,50.597,27.631,48.389,22.498,65.573,339.12,94.695,77.16,32.035,8.8387,26.636,6.7438,18.794,1.6682,32.694,13.853,23.844,1.25,19.177,2.2874,4.8653,2.284,0.014237,0.85232,0.098998,53.568,44.519,63.659,53.936,59.244,41.911
0,good_1,762,0.27622,3662.9,4459.7,27.07,42.5,2695.9,74.429,120.37,0.33239,80.169,49.441,24.353,50.812,23.297,65.569,339.71,94.684,76.995,32.035,8.8387,26.636,6.7438,18.794,1.6682,32.694,13.853,23.844,1.25,19.177,2.2874,4.8653,2.284,0.014237,0.85232,0.098998,53.568,44.519,63.195,53.686,60.501,40.376
0,good_1,763,0.27597,3714.2,4501.7,26.84,42.524,2694.8,75.44,120.43,0.3326,79.974,50.561,25.055,49.603,23.334,65.552,339.59,94.663,76.908,31.838,9.0356,26.22,7.1341,19.103,1.6633,32.683,14.048,23.903,1.3116,18.995,2.2906,4.8029,2.3655,0.014237,0.85232,0.098998,53.568,44.519,63.521,54.008,60.23,41.173
0,good_1,764,0.27667,3694.1,4485.2,26.836,42.437,2693.3,74.752,120.39,0.33361,80.069,48.929,25.73,52.439,23.494,65.541,339.25,94.582,77.175,31.838,9.0356,26.22,7.1341,19.103,1.6633,32.683,14.048,23.903,1.3116,18.995,2.2906,4.8029,2.3655,0.014237,0.85232,0.098998,53.568,44.519,63.868,54.206,61.73,40.865
0,good_1,765,0.29953,3601.4,4496.1,27.207,42.32,2696.7,74.419,120.42,0.3568,80.497,50.082,25.709,50.063,22.855,65.613,339.18,94.604,77.965,31.939,9.118,25.997,6.7244,18.749,1.6765,32.643,14.004,23.525,1.3989,19.328,2.2946,4.8449,2.2863,0.014237,0.85232,0.098998,53.568,44.519,61.985,53.288,62.227,41.381
0,good_1,766,0.30032,3568.1,4502.0,26.732,42.322,2699.0,74.991,120.4,0.35733,80.575,49.591,26.063,50.649,23.159,65.733,339.66,94.78,77.424,31.939,9.118,25.997,6.7244,18.749,1.6765,32.643,14.004,23.525,1.3989,19.328,2.2946,4.8449,2.2863,0.017152,0.84533,0.085457,53.802,44.122,62.559,53.217,60.738,40.74
0,good_1,767,0.29152,3722.6,4509.5,26.592,42.339,2696.8,75.096,120.43,0.35158,80.345,49.9,25.561,47.858,22.729,65.797,339.83,94.659,76.97,31.799,8.9627,26.468,6.9474,19.226,1.6824,32.57,13.982,24.294,1.3911,19.097,2.2453,4.8777,2.2777,0.017152,0.84533,0.085457,53.802,44.122,63.449,53.97,62.433,41.681
0,good_1,768,0.29231,3715.9,4502.0,26.867,42.203,2695.0,74.418,120.39,0.35338,80.118,50.186,25.718,51.032,23.035,65.764,339.38,94.579,76.928,31.799,8.9627,26.468,6.9474,19.226,1.6824,32.57,13.982,24.294,1.3911,19.097,2.2453,4.8777,2.2777,0.017152,0.84533,0.085457,53.802,44.122,63.565,54.061,60.867,41.102
0,good_1,769,0.30896,3670.3,4443.7,26.824,42.562,2695.2,74.593,120.41,0.3516,80.114,50.56,26.327,48.694,22.113,65.697,340.2,94.671,77.25,31.806,9.0137,26.1,6.784,19.27,1.667,32.904,14.062,23.46,1.3333,18.713,2.3,4.8722,2.3051,0.017152,0.84533,0.085457,53.802,44.122,62.437,53.552,61.741,41.383
0,good_1,770,0.30689,3670.2,4437.5,27.338,42.443,2695.3,75.021,120.39,0.35346,80.216,49.514,26.816,50.295,23.547,65.711,339.91,94.598,77.462,31.806,9.0137,26.1,6.784,19.27,1.667,32.904,14.062,23.46,1.3333,18.713,2.3,4.8722,2.3051,0.017152,0.84533,0.085457,53.802,44.122,62.44,53.627,62.039,40.597
0,good_1,771,0.3146,3695.4,4433.9,26.752,42.412,2697.1,75.066,120.45,0.36192,80.45,49.387,25.117,49.588,22.173,65.762,339.81,94.579,77.727,31.928,8.9849,26.586,7.0939,18.892,1.6896,33.225,14.148,23.768,1.2798,18.777,2.2273,4.9472,2.2463,0.0076109,0.86997,0.068545,53.879,43.797,63.453,53.481,59.715,41.685
0,good_1,772,0.3095,3724.8,4479.8,27.118,42.554,2697.3,75.25,120.4,0.3614,80.53,50.718,25.433,49.679,22.071,65.854,340.37,94.372,77.311,31.928,8.9849,26.586,7.0939,18.892,1.6896,33.225,14.148,23.768,1.2798,18.777,2.2273,4.9472,2.2463,0.0076109,0.86997,0.068545,53.879,43.797,62.948,52.933,62.283,40.936
0,good_1,773,0.30191,3598.6,4498.9,26.85,42.341,2695.7,75.123,120.41,0.37417,80.248,50.21,25.578,50.058,24.548,65.879,340.14,94.771,77.281,32.191,9.0819,25.885,6.937,18.728,1.6667,32.933,13.92,23.543,1.2483,18.574,2.2941,4.8669,2.3505,0.0076109,0.86997,0.068545,53.879,43.797,62.347,53.583,63.538,41.807
0,good_1,774,0.30556,3631.0,4514.7,27.0,42.201,2697.5,74.55,120.37,0.37021,80.327,48.878,25.365,51.893,23.033,65.866,341.06,94.639,77.349,32.191,9.0819,25.885,6.937,18.728,1.6667,32.933,13.92,23.543,1.2483,18.574,2.2941,4.8669,2.3505,0.0076109,0.86997,0.068545,53.879,43.797,61.79,53.393,62.549,40.507
0,good_1,775,0.27717,3627.1,4533.1,26.973,42.468,2698.7,75.404,120.41,0.35016,80.258,49.566,24.273,47.989,22.813,65.846,341.67,94.815,77.326,32.333,8.964,25.895,6.8857,18.605,1.6576,32.869,13.961,23.196,1.2333,18.699,2.2335,4.8691,2.2868,0.0076109,0.86997,0.068545,53.879,43.797,63.108,53.568,62.882,40.896
0,good_1,776,0.27918,3636.0,4489.5,27.308,42.547,2698.6,75.649,120.4,0.35057,80.293,49.43,24.063,48.332,23.683,65.835,341.83,94.551,77.73,32.333,8.964,25.895,6.8857,18.605,1.6576,32.869,13.961,23.196,1.2333,18.699,2.2335,4.8691,2.2868,0.027726,0.86428,0.099124,54.127,44.676,62.954,54.09,60.159,40.974
0,good_1,777,0.26533,3664.9,4492.4,27.107,42.571,2700.4,74.963,120.41,0.35138,80.352,47.627,26.039,49.098,23.2,65.921,341.78,94.58,77.584,32.821,9.1139,26.413,6.9342,18.948,1.6383,32.733,13.879,23.277,1.3578,18.361,2.3027,4.8162,2.4051,0.027726,0.86428,0.099124,54.127,44.676,62.879,54.375,60.993,41.058
0,good_1,778,0.26503,3647.1,4507.6,27.028,42.271,2700.3,74.002,120.43,0.35512,80.321,50.005,26.385,50.751,22.599,65.976,341.87,94.602,77.34,32.821,9.1139,26.413,6.9342,18.948,1.6383,32.733,13.879,23.277,1.3578,18.361,2.3027,4.8162,2.4051,0.027726,0.86428,0.099124,54.127,44.676,63.186,54.193,62.128,41.434
0,good_1,779,0.21256,3674.0,4495.5,26.896,42.304,2700.0,74.118,120.41,0.34639,80.296,49.352,24.973,50.249,22.291,66.002,342.2,94.588,77.424,32.096,8.963,25.934,6.8482,18.968,1.6719,33.141,13.99,23.372,1.2739,18.761,2.2384,4.8365,2.3362,0.027726,0.86428,0.099124,54.127,44.676,62.272,53.498,60.546,40.972
0,good_1,780,0.21151,3653.5,4452.7,26.927,42.307,2698.7,74.938,120.39,0.34768,80.284,50.609,26.176,52.19,24.224,66.037,342.26,94.583,77.519,32.096,8.963,25.934,6.8482,18.968,1.6719,33.141,13.99,23.372,1.2739,18.761,2.2384,4.8365,2.3362,0.027726,0.86428,0.099124,54.127,44.676,62.623,54.01,59.959,41.02
