failure,simulationRun,sample,xmeas_1,xmeas_2,xmeas_3,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_14,xmeas_15,xmeas_17,xmeas_18,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_4,xmv_10
0.0,good_498,309,0.30338,3677.7,4549.2,26.863,42.591,2706.6,75.654,120.44,0.30935,80.084,49.353,23.813,49.741,23.078,65.225,341.63,94.682,77.744,32.074,8.9043,26.493,6.9159,18.472,1.6691,33.096,13.516,24.211,1.3164,18.397,2.2856,4.8673,2.3715,0.024359,0.84868,0.097811,53.28,43.571,63.082,54.305,58.892,42.169
0.0,good_498,310,0.30216,3671.0,4516.9,26.978,42.555,2708.5,75.349,120.38,0.30996,80.265,48.712,24.942,47.616,23.526,65.258,342.14,94.296,77.331,32.074,8.9043,26.493,6.9159,18.472,1.6691,33.096,13.516,24.211,1.3164,18.397,2.2856,4.8673,2.3715,0.024359,0.84868,0.097811,53.28,43.571,63.199,54.691,60.543,40.363
0.0,good_498,311,0.27658,3691.7,4519.7,26.713,42.371,2708.6,75.891,120.4,0.29714,80.185,49.279,26.002,48.529,23.468,65.316,342.12,94.683,77.16,32.273,8.8862,26.484,6.8142,18.805,1.6818,33.015,13.924,24.387,1.2086,18.91,2.2578,4.8072,2.304,0.014378,0.85267,0.095488,53.195,42.324,62.333,54.591,60.648,41.996
0.0,good_498,312,0.27562,3634.8,4572.6,27.061,42.394,2707.9,74.356,120.39,0.30018,80.172,47.993,24.867,48.756,23.01,65.338,342.34,94.352,77.403,32.273,8.8862,26.484,6.8142,18.805,1.6818,33.015,13.924,24.387,1.2086,18.91,2.2578,4.8072,2.304,0.014378,0.85267,0.095488,53.195,42.324,63.311,53.958,60.135,41.008
0.0,good_498,313,0.25598,3685.3,4508.0,27.099,42.425,2705.3,74.621,120.39,0.34275,80.091,50.125,24.616,48.205,23.124,65.35,342.02,94.608,77.007,32.268,8.8262,26.41,6.7959,18.685,1.6307,33.283,13.535,23.664,1.3443,18.401,2.2328,4.909,2.3039,0.014378,0.85267,0.095488,53.195,42.324,63.352,53.939,63.075,41.158
0.0,good_498,314,0.25952,3673.2,4511.9,27.276,42.254,2701.6,75.404,120.38,0.34332,79.9,49.383,26.745,50.007,23.484,65.329,342.15,94.549,76.874,32.268,8.8262,26.41,6.7959,18.685,1.6307,33.283,13.535,23.664,1.3443,18.401,2.2328,4.909,2.3039,0.014378,0.85267,0.095488,53.195,42.324,63.56,53.892,62.63,41.398
0.0,good_498,315,0.25861,3734.9,4475.1,26.805,42.515,2703.6,74.814,120.4,0.29633,80.1,51.164,24.641,50.592,23.216,65.327,342.09,94.533,77.338,32.839,8.9981,26.216,6.9126,19.199,1.6239,33.064,13.793,23.775,1.1882,19.019,2.2312,4.8049,2.3002,0.014378,0.85267,0.095488,53.195,42.324,62.73,54.631,61.7,41.444
0.0,good_498,316,0.25767,3692.1,4545.1,26.987,42.338,2703.0,74.683,120.41,0.29935,80.1,48.968,25.002,51.853,23.163,65.359,342.03,94.483,77.353,32.839,8.9981,26.216,6.9126,19.199,1.6239,33.064,13.793,23.775,1.1882,19.019,2.2312,4.8049,2.3002,0.021653,0.84337,0.10372,53.54,43.65,63.467,53.793,59.624,41.143
0.0,good_498,317,0.19855,3648.9,4491.4,26.843,42.084,2698.7,75.002,120.4,0.32467,80.126,49.208,24.083,50.27,22.933,65.415,341.95,94.555,77.165,32.419,8.8994,26.426,6.8955,19.156,1.7322,33.012,13.967,23.874,1.3348,18.834,2.2633,4.859,2.3497,0.021653,0.84337,0.10372,53.54,43.65,63.213,53.148,61.031,41.052
0.0,good_498,318,0.19829,3639.2,4455.4,26.851,42.244,2696.2,74.881,120.37,0.32585,80.026,49.115,24.805,50.416,22.977,65.423,341.25,94.746,77.132,32.419,8.8994,26.426,6.8955,19.156,1.7322,33.012,13.967,23.874,1.3348,18.834,2.2633,4.859,2.3497,0.021653,0.84337,0.10372,53.54,43.65,63.379,53.579,61.189,40.833
