serial_number,date,op_setting_1,op_setting_2,sensor_2,sensor_3,sensor_7,sensor_8,sensor_10,sensor_11,sensor_13,sensor_14,sensor_15,failure
10,190,-0.0007,-0.0003,642.76,1588.15,553.89,2388.05,1.3,47.16,2388.06,8144.09,8.4768,1
10,191,-0.0001,0.0003,642.51,1588.39,553.71,2388.11,1.3,47.57,2388.04,8138.36,8.4073,1
10,192,-0.0018,0.0004,643.0,1589.5,552.88,2388.11,1.3,47.59,2388.08,8141.91,8.4194,1
100,149,-0.0005,0.0001,642.22,1591.34,553.59,2387.99,1.3,47.41,2387.99,8161.28,8.4209,1
100,150,0.0019,0.0001,642.75,1587.91,553.41,2388.05,1.3,47.46,2388.05,8162.62,8.427,1
100,151,0.0009,0.0002,642.54,1597.66,553.39,2388.01,1.3,47.47,2388.03,8164.62,8.4453,1
100,152,0.0014,0.0004,642.94,1587.57,553.74,2388.03,1.3,47.47,2388.03,8158.09,8.4161,1
100,153,-0.0022,0.0004,642.6,1583.71,553.27,2388.04,1.3,47.35,2388.01,8163.55,8.4185,1
100,154,0.0025,-0.0001,642.62,1597.91,553.82,2388.06,1.3,47.41,2388.01,8162.21,8.4168,1
100,155,0.0023,-0.0004,642.53,1594.93,553.24,2388.01,1.3,47.75,2388.06,8163.08,8.4344,1
100,156,0.0007,0.0002,642.31,1595.8,553.53,2388.01,1.3,47.23,2388.01,8161.18,8.4079,1
100,157,-0.0004,0.0001,642.78,1587.55,554.57,2388.07,1.3,47.39,2388.04,8169.67,8.4228,1
100,158,-0.0028,0.0003,642.57,1584.43,553.61,2388.01,1.3,47.46,2388.0,8160.87,8.4247,1
100,159,-0.0004,0.0003,642.52,1586.33,553.32,2388.03,1.3,47.43,2388.02,8166.24,8.3893,1
100,160,-0.0036,-0.0004,642.32,1592.15,553.44,2388.05,1.3,47.37,2388.02,8172.22,8.437,1
100,161,-0.0005,0.0001,643.0,1592.23,553.04,2388.0,1.3,47.5,2388.01,8166.92,8.4316,1
100,162,0.0036,0.0001,642.53,1593.45,553.4,2387.98,1.3,47.43,2388.05,8167.74,8.4517,1
100,163,0.0019,-0.0002,643.0,1591.22,554.28,2388.01,1.3,47.52,2388.03,8175.24,8.4371,1
100,164,-0.0018,-0.0002,643.14,1588.4,553.5,2388.07,1.3,47.49,2388.04,8177.08,8.4162,1
100,165,-0.0041,-0.0001,642.89,1594.17,553.29,2388.04,1.3,47.47,2388.0,8171.5,8.4286,1
100,166,-0.0024,0.0003,642.39,1592.55,553.58,2388.01,1.3,47.42,2387.99,8178.4,8.4251,1
100,167,0.0011,0.0001,642.66,1590.79,553.57,2388.04,1.3,47.59,2388.05,8172.7,8.4855,1
100,168,-0.001,0.0001,642.94,1585.16,553.81,2388.04,1.3,47.47,2388.07,8181.49,8.452,1
100,169,0.0026,-0.0,642.36,1591.25,553.56,2388.04,1.3,47.36,2388.02,8176.17,8.448,1
100,170,-0.0006,-0.0004,642.7,1589.92,553.29,2388.05,1.3,47.55,2388.06,8178.23,8.4235,1
100,171,-0.0026,-0.0003,642.83,1586.64,554.19,2388.05,1.3,47.72,2388.03,8172.32,8.4667,1
100,172,0.0007,0.0003,642.61,1594.51,553.58,2388.0,1.3,47.62,2388.06,8179.29,8.4279,1
100,173,-0.0003,-0.0,642.56,1591.49,553.66,2388.05,1.3,47.47,2388.04,8182.17,8.4615,1
100,174,-0.0005,0.0003,642.81,1589.97,553.66,2388.04,1.3,47.39,2388.0,8183.7,8.4234,1
100,175,0.0019,0.0,642.25,1595.08,553.07,2388.03,1.3,47.44,2387.99,8182.5,8.4691,1
100,176,0.0002,0.0002,642.73,1590.96,553.37,2388.03,1.3,47.68,2388.04,8186.68,8.4922,1
100,177,-0.0041,-0.0003,642.8,1593.26,553.93,2388.08,1.3,47.81,2388.02,8188.45,8.4296,1
100,178,0.0001,0.0005,642.32,1591.78,553.55,2388.05,1.3,47.62,2388.05,8184.89,8.4574,1
100,179,0.0041,0.0001,642.3,1588.93,553.04,2388.03,1.3,47.53,2388.0,8185.87,8.4371,1
100,180,-0.0004,0.0001,642.65,1593.47,553.93,2388.04,1.3,47.61,2388.07,8193.02,8.5022,1
