serial_number,date,op_setting_1,op_setting_2,sensor_2,sensor_3,sensor_7,sensor_8,sensor_10,sensor_11,sensor_13,sensor_14,sensor_15,failure
1,136,0.003,-0.0001,642.84,1584.72,554.18,2388.06,1.3,47.43,2388.11,8130.43,8.4469,1
1,137,-0.0011,0.0,642.43,1594.69,553.39,2388.14,1.3,47.89,2388.12,8128.81,8.449,1
1,138,-0.0011,0.0001,642.79,1589.82,552.91,2388.11,1.3,47.4,2388.18,8129.67,8.4208,1
1,139,-0.0014,0.0005,643.11,1592.28,553.25,2388.06,1.3,47.67,2388.15,8124.97,8.4621,1
1,140,-0.0006,-0.0001,643.05,1590.89,552.15,2388.17,1.3,47.51,2388.05,8130.27,8.4397,1
1,141,-0.0023,0.0005,642.39,1590.02,553.45,2388.13,1.3,47.49,2388.16,8120.93,8.4641,1
1,142,0.0026,0.0002,642.51,1595.29,553.11,2388.1,1.3,47.59,2388.18,8124.87,8.4291,1
1,143,-0.0005,-0.0003,642.77,1593.1,553.62,2388.13,1.3,47.52,2388.11,8126.81,8.4419,1
1,144,0.0025,-0.0004,643.09,1591.89,553.77,2388.17,1.3,47.57,2388.17,8125.47,8.4601,1
1,145,-0.0004,-0.0001,642.95,1594.92,553.03,2388.13,1.3,47.54,2388.15,8130.91,8.4644,1
1,146,0.0002,-0.0003,642.72,1586.75,552.6,2388.12,1.3,47.63,2388.12,8129.19,8.4312,1
1,147,0.0047,0.0001,642.25,1594.85,553.09,2388.14,1.3,47.8,2388.12,8126.13,8.4428,1
1,148,0.001,-0.0004,643.02,1590.03,552.84,2388.16,1.3,47.49,2388.15,8124.48,8.4276,1
1,149,0.0025,0.0004,642.9,1592.78,552.54,2388.17,1.3,47.83,2388.15,8124.34,8.4731,1
1,150,0.001,-0.0003,643.06,1589.01,553.57,2388.12,1.3,47.6,2388.21,8122.99,8.4726,1
1,151,-0.0019,-0.0001,642.82,1592.39,552.41,2388.14,1.3,47.58,2388.22,8127.21,8.4612,1
1,152,0.0009,-0.0001,642.67,1598.6,552.62,2388.18,1.3,47.72,2388.19,8119.0,8.4572,1
1,153,0.0011,-0.0004,642.99,1589.17,552.68,2388.14,1.3,47.74,2388.17,8124.14,8.4435,1
1,154,-0.0012,0.0,642.81,1597.03,552.57,2388.14,1.3,47.73,2388.18,8129.24,8.4794,1
1,155,-0.0033,0.0002,642.83,1590.4,552.89,2388.16,1.3,47.61,2388.17,8120.41,8.4729,1
1,156,-0.002,0.0003,643.04,1585.61,553.24,2388.26,1.3,47.58,2388.16,8128.48,8.4432,1
1,157,-0.0018,0.0002,642.2,1598.04,552.32,2388.14,1.3,47.72,2388.17,8125.07,8.4328,1
1,158,-0.0023,0.0001,642.88,1596.82,553.19,2388.2,1.3,47.68,2388.22,8126.33,8.4368,1
1,159,-0.0006,0.0001,642.89,1589.54,552.18,2388.13,1.3,47.76,2388.23,8127.61,8.4403,1
1,160,-0.0006,-0.0004,643.45,1590.65,551.87,2388.21,1.3,47.84,2388.22,8122.68,8.4433,1
1,161,0.0008,0.0001,643.0,1594.2,552.8,2388.18,1.3,47.77,2388.18,8126.97,8.4405,1
1,162,-0.0005,0.0004,643.15,1592.22,552.68,2388.15,1.3,47.79,2388.2,8123.77,8.5015,1
1,163,0.0003,-0.0004,642.85,1600.54,552.41,2388.2,1.3,47.89,2388.2,8124.06,8.5129,1
1,164,0.0005,-0.0002,643.17,1598.96,551.9,2388.17,1.3,47.7,2388.28,8124.63,8.4803,1
1,165,0.001,0.0004,642.76,1597.03,552.79,2388.19,1.3,47.89,2388.24,8126.53,8.4922,1
1,166,-0.0022,-0.0003,643.34,1596.72,552.13,2388.22,1.3,47.86,2388.22,8119.14,8.4663,1
1,167,0.0012,0.0003,643.02,1593.83,552.57,2388.23,1.3,47.85,2388.18,8122.41,8.4632,1
1,168,-0.0043,0.0002,642.68,1591.19,552.09,2388.22,1.3,47.84,2388.19,8124.44,8.4925,1
1,169,-0.0017,0.0004,643.2,1590.16,552.71,2388.25,1.3,47.88,2388.18,8125.3,8.4767,1
1,170,-0.0017,-0.0002,642.92,1592.71,552.02,2388.21,1.3,47.86,2388.26,8121.76,8.49,1
1,171,0.0004,-0.0003,643.26,1592.06,552.71,2388.2,1.3,48.03,2388.22,8124.87,8.4922,1
1,172,-0.0014,-0.0003,643.33,1591.71,551.69,2388.24,1.3,48.07,2388.26,8120.08,8.4595,1
1,173,-0.0032,0.0002,642.97,1590.69,552.13,2388.22,1.3,47.9,2388.23,8121.64,8.5091,1
1,174,-0.0001,-0.0002,642.64,1599.81,552.32,2388.22,1.3,48.0,2388.21,8119.17,8.4476,1
1,175,0.0001,0.0002,643.61,1603.29,551.64,2388.23,1.3,47.86,2388.22,8125.76,8.489,1
1,176,-0.002,-0.0003,642.86,1592.27,551.91,2388.23,1.3,47.84,2388.2,8123.8,8.4853,1
1,177,-0.0038,-0.0003,643.79,1602.02,551.93,2388.25,1.3,48.03,2388.23,8120.11,8.4779,1
1,178,-0.0001,0.0002,643.38,1605.33,552.18,2388.23,1.3,48.0,2388.2,8116.56,8.477,1
1,179,0.0023,-0.0003,642.86,1592.56,551.57,2388.26,1.3,48.02,2388.18,8116.84,8.4947,1
1,180,-0.0024,0.0,643.58,1599.87,552.91,2388.21,1.3,47.85,2388.28,8122.57,8.4737,1
1,181,-0.0006,0.0005,643.44,1596.71,551.83,2388.23,1.3,48.1,2388.23,8114.79,8.472,1
1,182,-0.001,0.0003,644.21,1602.08,551.9,2388.26,1.3,47.98,2388.25,8119.67,8.5158,1
1,183,0.0001,0.0001,643.24,1597.23,551.38,2388.21,1.3,48.03,2388.23,8117.8,8.5041,1
1,184,0.0004,0.0003,644.07,1605.44,551.0,2388.24,1.3,48.07,2388.28,8115.61,8.5133,1
1,185,0.0008,0.0001,643.8,1603.46,551.64,2388.29,1.3,48.15,2388.27,8113.69,8.4984,1
1,186,0.0027,-0.0003,643.51,1595.16,552.57,2388.21,1.3,48.12,2388.25,8123.45,8.5227,1
1,187,-0.0047,-0.0,643.32,1592.1,551.08,2388.29,1.3,48.23,2388.28,8115.67,8.5218,1
1,188,-0.0067,0.0003,643.75,1602.38,551.94,2388.31,1.3,48.0,2388.23,8117.69,8.5207,1
1,189,-0.0006,0.0002,644.18,1596.17,550.7,2388.27,1.3,48.08,2388.33,8117.51,8.5183,1
1,190,-0.0027,0.0001,643.64,1599.22,551.29,2388.29,1.3,48.33,2388.35,8112.58,8.5223,1
1,191,-0.0,-0.0004,643.34,1602.36,550.92,2388.28,1.3,48.15,2388.3,8114.61,8.5174,1
1,192,0.0009,-0.0,643.54,1601.41,551.25,2388.32,1.3,48.25,2388.32,8110.93,8.5113,1
10,157,0.0023,0.0003,642.53,1589.43,553.41,2388.09,1.3,47.46,2388.03,8151.43,8.469,1
10,158,-0.0018,0.0002,643.13,1588.54,552.72,2388.06,1.3,47.72,2388.09,8147.55,8.38,1
10,159,-0.002,0.0001,642.89,1583.15,553.4,2388.09,1.3,47.58,2388.08,8146.04,8.4525,1
10,160,0.003,-0.0004,642.65,1590.58,553.69,2388.11,1.3,47.64,2388.05,8152.16,8.4452,1
10,161,-0.0,0.0001,642.56,1589.92,553.41,2388.1,1.3,47.49,2388.08,8147.83,8.4318,1
10,162,-0.0023,-0.0001,642.9,1592.33,553.92,2388.08,1.3,47.65,2388.11,8153.98,8.4198,1
10,163,-0.0005,0.0003,642.9,1588.41,553.58,2388.09,1.3,47.59,2388.14,8148.23,8.4272,1
10,164,0.0009,-0.0003,643.22,1590.27,553.41,2388.12,1.3,47.58,2388.06,8150.6,8.472,1
10,165,-0.0033,-0.0004,642.72,1577.39,553.15,2388.07,1.3,47.75,2388.07,8149.96,8.4232,1
10,166,0.0033,0.0,643.41,1589.38,553.55,2388.09,1.3,47.52,2388.09,8148.32,8.4905,1
10,167,-0.0005,-0.0004,642.85,1593.63,553.53,2388.05,1.3,47.69,2388.11,8150.1,8.449,1
10,168,0.0011,0.0004,642.85,1593.11,553.0,2388.06,1.3,47.63,2388.02,8157.27,8.4502,1
10,169,0.0018,-0.0001,642.54,1600.91,553.93,2388.09,1.3,47.54,2388.07,8149.56,8.4788,1
10,170,0.0004,0.0002,642.53,1592.71,553.9,2388.11,1.3,47.68,2388.07,8145.26,8.4789,1
10,171,0.002,-0.0004,642.5,1597.58,553.7,2388.01,1.3,47.58,2388.11,8152.38,8.4055,1
10,172,0.0001,-0.0002,642.9,1592.19,553.12,2388.08,1.3,47.49,2388.11,8156.42,8.4514,1
10,173,-0.0016,0.0005,642.74,1583.96,552.65,2388.05,1.3,47.55,2388.07,8154.03,8.4217,1
10,174,0.0019,0.0002,642.68,1586.97,553.71,2388.09,1.3,47.63,2388.1,8151.62,8.4412,1
10,175,0.0029,0.0001,642.78,1593.26,552.42,2388.13,1.3,47.74,2388.1,8150.0,8.4548,1
10,176,0.0013,-0.0001,643.27,1596.38,553.49,2388.11,1.3,47.36,2388.11,8156.0,8.4562,1
10,177,0.0019,-0.0002,642.98,1586.66,552.47,2388.11,1.3,47.5,2388.01,8152.49,8.4152,1
